barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
295321,null,658,J. R. Campbell,S. Dickman,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,168609,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,02/16/2017,Cypress Creek Preserve.,null,Pond margin.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.40972222,W,28.12388889,N,https://cdn.plantatlas.org/img/specimens/USF/295321.jpg
223590,null,1857,K. A. Bradley,,USA,Collier Co.,Cyperaceae,Carex,null,null,15288,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,07/04/1998,"Immokalee area; just E of C-846, ca. 1.8 mi. S of Immokalee City limits, ca. 3.3 mi. S of US 29.",null,Along edge of road.,Fertile,null,null,null,null,A few plants.,null,null,null,null,FALSE,null,-81.41583333,W,26.36972222,N,https://cdn.plantatlas.org/img/specimens/USF/223590.jpg
302241,null,163,K. S. Alvarado,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,243389,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/27/2021,"Blackwater Creek Nature Preserve, Patrinostro Road of FL 29, Plant City; N end of BWC-14a.",null,Oak hammock adjacent to bog margin.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.159,W,28.148,N,https://cdn.plantatlas.org/img/specimens/USF/302241.jpg
303042,null,578,L. B. Birch,B.K. Holst,USA,Sarasota Co.,Cyperaceae,Carex,null,null,246602,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,09/02/2010,"Deer Prairie Creek Preserve, Jordyn Parcel; N parcel limit 4.5 mi. E of the intersection of South Moon Drive and Border Road, I-75 borders to the S.",2010,Pasture.,Fertile,null,null,null,null,"Herb, few seen.",null,5,7,m,FALSE,null,-82.25972222,W,27.12055556,N,https://cdn.plantatlas.org/img/specimens/USF/303042.jpg
258422,null,s.n.,L. W. Curtis,,USA,Levy Co.,Cyperaceae,Carex,null,null,59839,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/16/2011,"Shore of Manatee Springs, near swimming area.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Manatee Springs State Park,-82.981791,W,29.497458,N,https://cdn.plantatlas.org/img/specimens/USF/258422.jpg
272745,null,s.n.,L. W. Curtis,,USA,Citrus Co.,Cyperaceae,Carex,null,null,100038,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/17/2014,Homosassa Wildlife Preserve.,null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.6151,W,28.781372,N,https://cdn.plantatlas.org/img/specimens/USF/272745.jpg
299839,null,s.n.,L. W. Curtis,,USA,Lafayette Co.,Cyperaceae,Carex,null,null,231976,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/04/2016,"Lafayette Blue Springs State Park, Mayo; near Ranger Station, 2 mi. from Allen Mill Pond near Suwannee River, of C-292.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-83.2,W,29.95,N,https://cdn.plantatlas.org/img/specimens/USF/299839.jpg
301827,null,s.n.,L. W. Curtis,,USA,Marion Co.,Cyperaceae,Carex,null,null,242646,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,03/27/2019,"Boat launch, South Unit Campground.",null,"With Carex fissa, C. gholsonii, C. godfreyi, C. vexans.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Rainbow Springs State Park,-82.42638889,W,29.08861111,N,https://cdn.plantatlas.org/img/specimens/USF/301827.jpg
188662,null,s.n.,M. Lopez,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,15299,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/28/1985,"Morris Bridge wellfield, ca. 0.5 mi. N of Hillsborough River and just W of Morris Bridge Road.  T27S, R20E, Sec. 19.",1992,Streamside at Clay Gully.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.35,W,27.9167,N,https://cdn.plantatlas.org/img/specimens/USF/188662.jpg
24408,null,23736,O. K. Lakela,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,15275,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,01/26/1961,46th Street ca. 0.75 mi. S of Fowler Ave.,null,In border of sandy field with Juncus spp.,Fertile,null,null,null,null,Dense clumps.,null,null,null,null,FALSE,Tampa,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/24408.jpg
20953,null,23473,O. K. Lakela,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,15232,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,10/31/1960,On FL 60 W of Plant City.,null,With Cyperus and Stenotaphrum in a drying border of marsh.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/20953.jpg
65620,null,28996,O. K. Lakela,,USA,Collier Co.,Cyperaceae,Carex,null,null,15197,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,07/19/1965,"East Collier-Hendry County Line Road, FL 846, Seminole Indian Reservation Area.",null,Canal bank under Salix.,Fertile,null,null,null,null,Few fruiting spikes.,null,null,null,null,FALSE,null,-81.4833,W,26.1333,N,https://cdn.plantatlas.org/img/specimens/USF/65620.jpg
46451,null,23748,O. K. Lakela,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,15234,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,02/05/1961,"University of South Florida Campus, on nursery grounds.",null,"Undisturbed area under oaks, wedged in between species of Panicum, Paspalum, and Ascyrum [Hypericum].",Fertile,null,null,null,null,Large clump of proliferating plants. Some culms 1-1.2 m long.,null,null,null,null,FALSE,Tampa,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/46451.jpg
65178,null,28744,O. K. Lakela,,USA,Collier Co.,Cyperaceae,Carex,null,null,15293,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,06/17/1965,West of the FL 29 junction on FL 82.,1992,Salix - Typha swamp margin; glade and watery ditch.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/65178.jpg
249874,null,97,P. Fortsch,E. Dunkleberger,USA,Sarasota Co.,Cyperaceae,Carex,null,null,34840,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/30/1998,"Pine View School, 1 Python Path, Osprey.",Jun 2009,Pine flatwoods.,Fertile,null,null,null,null,Grass-like herb ca. 18 in. high; flower cluster terminal.,null,null,null,null,FALSE,null,-82.490375,W,27.196163,N,https://cdn.plantatlas.org/img/specimens/USF/249874.jpg
230217,null,97,P. Fortsch,E. Dunkleberger,USA,Sarasota Co.,Cyperaceae,Carex,null,null,15291,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/01/1998,"Pine View School, 1 Python Path.",null,Pine flatwood.,Fertile,null,null,null,null,Grass-like herb to ca. 18 in.; flower cluster terminal.,null,null,null,null,FALSE,Osprey,-82.490375,W,27.196163,N,https://cdn.plantatlas.org/img/specimens/USF/230217.jpg
245188,null,HR0108,R. A. Hattaway,,USA,Hillsborough Co.,Cyperaceae,Carex,null,null,26444,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/13/1998,"Florida Trail, northern loop.  T27S, R21E, Sec. 8, SW¼ of SW¼ of NW¼.",null,Hydric hammock.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Hillsborough River State Park,-82.35,W,27.9167,N,https://cdn.plantatlas.org/img/specimens/USF/245188.jpg
178477,null,s.n.,R. F. Daubenmire,J. Daubenmire,USA,Lake Co.,Cyperaceae,Carex,null,null,15295,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,03/29/1978,5 mi. E of Mount Dora.,1992,Ditch bank.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/178477.jpg
202126,null,s.n.,R. F. Daubenmire,J. Daubenmire,USA,Lake Co.,Cyperaceae,Carex,null,null,15230,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/07/1989,Trout Lake Nature Center.,1992,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Eustis,-81.685353,W,28.852768,N,https://cdn.plantatlas.org/img/specimens/USF/202126.jpg
209070,null,s.n.,R. F. Daubenmire,J. Daubenmire,USA,Lake Co.,Cyperaceae,Carex,null,null,15296,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/09/1991,Leesburg-Flat Island.,1994,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,-81.877858,W,28.810823,N,https://cdn.plantatlas.org/img/specimens/USF/209070.jpg
203401,null,s.n.,R. F. Daubenmire,J. Daubenmire,USA,Lake Co.,Cyperaceae,Carex,null,null,15231,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,04/17/1990,N edge of Eustis.,1992,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-81.685353,W,28.852768,N,https://cdn.plantatlas.org/img/specimens/USF/203401.jpg
748,null,53340,R. K. Godfrey,,USA,Leon Co.,Cyperaceae,Carex,null,null,15199,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/31/1955,Between Tallahassee and Lake Bradford.,null,"Peaty soil, dried-up, small pond.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-84.280733,W,30.438256,N,https://cdn.plantatlas.org/img/specimens/USF/748.jpg
67036,null,62731,R. K. Godfrey,,USA,Wakulla Co.,Cyperaceae,Carex,null,null,15198,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/03/1963,Vicinity of Live Oak Island.,null,Sandy ditch banks bordering myrtle [Myrica] flat.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.1,W,29.25,N,https://cdn.plantatlas.org/img/specimens/USF/67036.jpg
19987,null,59529,R. K. Godfrey,,USA,Leon Co.,Cyperaceae,Carex,null,null,15239,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/17/1960,Ca. 2.5 mi. W of Tallahassee.,1992,"Peaty soil, clearing of bottomland woodland.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-84.280733,W,30.438256,N,https://cdn.plantatlas.org/img/specimens/USF/19987.jpg
35905,null,54909,R. K. Godfrey,R. Kral,USA,Madison Co.,Cyperaceae,Carex,null,null,15202,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,06/24/1956,null,null,Marsh.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Greenville,-83.630154,W,30.469374,N,https://cdn.plantatlas.org/img/specimens/USF/35905.jpg
35574,null,54924,R. K. Godfrey,R. Kral,USA,Madison Co.,Cyperaceae,Carex,null,null,15274,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,06/24/1956,null,null,Marshes.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Greenville,-83.630154,W,30.469374,N,https://cdn.plantatlas.org/img/specimens/USF/35574.jpg
275971,null,701,R. Mejeur,,USA,Alachua Co.,Cyperaceae,Carex,null,null,105990,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/20/1999,Weiss property; near flowway for Turkey Creek.,Oct 2014,Wetland bottom.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.38305556,W,29.72222222,N,https://cdn.plantatlas.org/img/specimens/USF/275971.jpg
275647,null,700,R. Mejeur,,USA,Alachua Co.,Cyperaceae,Carex,null,null,105429,null,null,null,TRUE,2951,null,longii,Mack.,null,North America,05/20/1999,Weiss Property; limestone roadway crossing Turkey Creek.,null,Limestone roadway crossing; with Thelypteris spp. and Eryngium baldwinii.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.38305556,W,29.72222222,N,https://cdn.plantatlas.org/img/specimens/USF/275647.jpg
