"","SrcID","cultivar_notes"
"397",217242,""
"398",150667,""
"399",234461,""
"400",88530,""
"401",201229,""
"402",216994,""
"403",217441,""
"404",217633,""
"405",202049,""
"406",157603,""
"407",157712,""
"408",200840,""
"409",150477,""
"410",115578,""
"411",200625,""
"412",219192,""
"413",219191,""
"414",219423,""
"415",219433,"Fruits green drying brown; flowers were white with pale purple fruit tint; cultivated perennial 2 m tall."
"416",115591,""
"417",115737,""
"418",219985,""
"419",202214,""
"420",176105,""
"421",176113,""
"422",201046,""
"423",201162,""
"424",218896,""
"425",224129,""
"426",218224,""
"427",218315,""
"428",227874,""
"429",204619,""
"430",231348,""
"431",231353,""
"432",231411,""
"433",241193,""
"434",157632,""
"435",157627,""
"436",211268,""
"437",223997,""
"438",217729,""
"439",217706,""
"440",219321,""
"441",217792,""
"442",202059,""
"443",202250,""
"444",202445,""
"445",233568,""
"446",207873,""
"447",219237,""
"448",222029,""
"449",148491,""
"450",241069,""
"451",208802,""
"452",219408,""
"453",205237,""
"454",222726,""
"455",218917,""
"456",218921,""
"457",218457,""
"458",206744,""
"459",151270,""
"460",220131,""
"461",220132,""
"462",220035,""
"463",238723,""
"464",150452,""
"465",224202,""
"466",115616,""
"467",204774,""
"468",237873,""
"469",241079,""
"470",241708,""
"471",234429,""
"472",233117,""
"473",240116,""
"474",218440,""
"475",205874,""
"476",202705,""
"477",222859,""
"478",222885,""
"479",223061,""
"480",208325,""
"481",219064,""
"482",239823,""
"483",226868,""
"484",240473,""
"485",204331,""
"486",157560,""
"487",224138,""
"488",234597,""
"489",201315,""
"490",153669,""
"491",214781,""
"492",157941,""
"493",224766,""
"494",144812,""
"495",229264,""
"496",202665,""
"497",201223,""
"498",201376,""
"499",202050,""
"500",115564,""
"501",219994,""
"502",218924,""
"503",218922,""
"504",218925,""
"505",226775,""
"506",201592,""
"507",226190,""
"508",226792,""
"509",220292,""
"510",226651,""
"511",200770,""
"512",238493,""
"513",150448,""
"514",150450,""
"515",219962,""
"516",240622,""
"517",202549,""
"518",221951,""
"519",218357,""
"520",221126,""
"521",216426,""
"522",216444,""
"523",50082,""
"524",50081,""
"525",50074,""
"526",50067,""
"527",50177,""
"528",29150,""
"529",29124,""
"530",221924,""
"531",238004,""
"532",233594,""
"533",216844,""
"534",217382,""
"535",200599,""
"536",153425,""
"537",221361,""
"538",221425,""
"539",221477,""
"540",50253,""
"541",43680,""
"542",206749,""
"543",200404,""
"544",206557,""
"545",242979,""
"546",200642,""
"547",150404,""
"548",201577,""
"549",216703,""
"550",149951,""
