Record Format,Scientific Name,Common Name,Family,Genus,Specimens,Photo(s),Infraspecies,Infraspecies Author,Ecology,Native,Endemic,DEP,EPPC1,EPPC2,Global Rank Comment,Growth Habit,Nature Serve,NWI,Plant Notes,Species,Species Author,State Rank Comment,Status State,Status US,Taxon Notes,USDA Symbol,WAP
Accepted Name,Carex rosea,ROSY SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,rosea,Schkuhr ex Willd.,null,,,null,null,null
Accepted Name,Carex seorsa,WEAK STELLATE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,seorsa,Howe,null,,,null,null,null
Accepted Name,Carex striatula,LINED SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACU,Carex ignota was recently segregated from C. striatula based on morphology and DNA data (Dorey 2019).,striatula,Michx.,null,,,null,null,null
Accepted Name,Carex styloflexa,BENT SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,styloflexa,Buckley,null,,,null,null,null
Accepted Name,Carex superata,null,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FAC,null,superata,Naczi et al.,null,,,null,null,null
Accepted Name,Carex tenax,WIRE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,null,null,tenax,Chapm. ex Dewey,null,,,null,null,null
Accepted Name,Carex thornei,THORNE'S SEDGE,CYPERACEAE,Carex,N,N,null,null,null,Y,N,null,N,N,null,null,null,null,null,thornei,Naczi,null,,,null,null,null
Accepted Name,Carex tribuloides,BLUNT BROOM SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,tribuloides,Wahlenb.,null,,,null,null,null
Accepted Name,Carex typhina,CATTAIL SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,typhina,Michx.,null,,,null,null,null
Accepted Name,Carex vulpinoidea,FOX SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,vulpinoidea,Michx.,null,,,null,null,null
Accepted Name,Carex atlantica subsp. capillacea,PRICKLY BOG SEDGE,CYPERACEAE,Carex,Y,Y,subsp. capillacea,(L.H.Bailey)Reznicek,null,Y,N,OBL,N,N,null,null,null,OBL,null,atlantica,L.H.Bailey,null,,,null,null,null
Accepted Name,Carex baltzellii,BALTZELL'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,null,null,baltzellii,Chapm. ex Dewey,null,Threatened-State,,null,null,null
Accepted Name,Carex bromoides,BROMELIKE SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,bromoides,Schkuhr,null,,,null,null,null
Accepted Name,Carex caroliniana,CAROLINA SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,caroliniana,Schwein.,null,,,null,null,null
Accepted Name,Carex cephalophora,OVAL-LEAF SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FAC,null,cephalophora,Muhl. ex Willd.,null,,,null,null,null
