"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"27",211622,"null","E-474","J. Richard Abbott","L. C. Isaacs","Liechtenstein","null","Malvaceae","Alcea","null","null",129253,"null","null","null",TRUE,"null","null","rosea","L.","null","Europe","10/26/1991","Small country between Austria and Switzerland; Vaduz, along Unter Panador road near junction with Quaderleweg.","29-Jun-2016","null","Flower","Bud","null","null","null","Numerous cultivars with various petal colors, including red, pink, white, or yellow.","null","null","null","null",FALSE,"null","9.526","E","47.145","N","https://cdn.plantatlas.org/img/specimens/USF/211622.JPG"
"28",222472,"null","s.n.","K. Samuels","","USA","Martin Co.","Apocynaceae","Allamanda","null","null",130620,"null","null","null",TRUE,"1434","null","cathartica","L.","null","North America","01/20/1998","Ca. 2.5 mi. N of Jensen Beach, on old FIT college campus on Sewells Point. T37S, R41E, Sec. 35.","null","null","Flower","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/222472.JPG"
"29",137220,"null","6177","R. P. Wunderlin","A. Arcuri & B. Hansen","USA","Lee Co.","Apocynaceae","Allamanda","null","null",130635,"null","null","null",TRUE,"1434","null","cathartica","L.","null","North America","10/28/1978","Sanibel Island, J. N. ""Ding"" Darling National Wildlife Refuge; 0.6 mi. W of Tarpon Bay Road on Sanibel-Captiva Road.","null","Abandoned homesite.","Flower","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/137220.JPG"
"30",189698,"null","29526","T. A. Zanoni","R. García","Dominican Republic","San Cristóbal Mun.","Apocynaceae","Allamanda","null","null",146674,"null","null","null",TRUE,"1434","null","cathartica","L.","null","West Indies","s.d.","Cordillera Central; 18.9 km al norte de Hato Damas (en la carretera a Mediray Madrigal): en el límite del norte del poblado de Caobal.","null","Orilla del camino, proximo a un rancho.","Flower","Fruit","null","null","null","Arbustos 1 m de alto; corolas amarillo intenso; escapada y naturalizada; no cultivado.","null","null","null","null",FALSE,"null","-70.2","W","18.6","N","https://cdn.plantatlas.org/img/specimens/USF/189698.jpg"
"34",111627,"null","3664","H. M. Biegel","","England","Wiltshire Co.","Apocynaceae","Alstonia","null","null",170300,"null","null","null",TRUE,"null","null","venenata","R. Br.","null","Europe","12/21/1971","Marlbourough Nurseries, Salisbury.","null","null","Flower","null","null","null","null","Cultivated; rounded shrub, bare at base, 1-2 m high; a few red leaves; copious milky latex; flowers white.","null","null","null","null",FALSE,"null","-1.783333","W","51.066667","N","https://cdn.plantatlas.org/img/specimens/USF/111627.jpg"
"37",36366,"null","54845","R. K. Godfrey","","USA","Leon Co.","Apiaceae","Ammi","null","null",61124,"null","null","null",TRUE,"1749","null","majus","L.","null","North America","05/21/1956","Tallahassee.","null","Vacant lots.","Fertile","null","null","null","null","Of various sizes, up to 1.5 m tall, with numerous branches; in cultivation and locally escaped.","null","null","null","null",FALSE,"null","-84.280733","W","30.438256","N","https://cdn.plantatlas.org/img/specimens/USF/36366.jpg"
"38",45189,"null","12","W. K. Babel","P. Moorenovich","USA","Strafford Co.","Fabaceae","Amorpha","null","null",244316,"null","null","null",TRUE,"2056","null","fruticosa","L.","null","North America","06/11/1942","Near University of New Hampshire greenhouse, Durham.","1973","Growing along roadside.","Flower","null","null","null","null","Escaped from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/45189.jpg"
"40",121805,"null","192","P. Busey","","USA","St. Louis Co.","Apocynaceae","Amsonia","null","null",130646,"filifolia","Alph. Wood","null",TRUE,"null","var.","ciliata","Walter","null","North America","05/25/1972","null","null","Partly shaded.","Flower","null","null","null","null","Lobes light blue; white at base; dense clump; possible vestige from cultivation.","null","null","null","null",FALSE,"null","-90.44342","W","38.640689","N","https://cdn.plantatlas.org/img/specimens/USF/121805.JPG"
"44",125869,"null","1705","C. Dziekanowski","Dunn & Bolingbroke","Mexico","null","Polygonaceae","Antigonon","null","null",191433,"null","null","null",TRUE,"1578","null","leptopus","Hook. & Arn.","null","North America","08/09/1972","36 mi. N of Montemorelos.","null","Along fence by roadside; native thorn forest area.","Flower","null","null","null","null","Plants cultivated and wild.","null","null","null","null",FALSE,"null","-99.845683","W","25.136416","N","https://cdn.plantatlas.org/img/specimens/USF/125869.JPG"
"45",2592,"null","57189","R. K. Godfrey","null","USA","Hernando Co.","Araucariaceae","Araucaria","null","null",237545,"null","null","null",TRUE,"null","null","bidwillii","Hook.","null","North America","07/12/1958","Chinsegut Hill, 4.5 mi. N of Brooksville.","null","null","null","null","null","null","null","Large tree, in cultivation; cone 3 dm long and 2 dm in diameter.","null","null","null","null",FALSE,"null","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/2592.jpg"
