"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"95",212951,"null","25947","S. R. Hill","null","USA","Pickens Co.","Scrophulariaceae","Buddleja","null","null",130590,"null","null","null",TRUE,"null","null","davidii","Franch.","null","North America","08/07/1994","156 Cedar Creek Circle, Central; front yard.","Aug 1994","null","Flower","null","null","null","null","Cultivated shrub 10 ft. tall; flowers lilac-purple; ","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/212951.JPG"
"96",200131,"null","18448","S. R. Hill","null","USA","Jefferson Davis Par.","Arecaceae","Butia","null","null",237409,"null","null","null",TRUE,"4222","null","odorata","Barb. Rodr.","Noblick","North America","08/01/1987","At Shell gas station, US 10 at LA 26, Jennings.","Jan 2023","null","Fruit","null","null","null","null","Cultivated palm 10 ft. tall; petioles with prickles; leaves glaucous; fruits yellow-orange.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/200131.jpg"
"100",181519,"null","7043","C. H. Dodson","T. Dodson, A. Embree, R. Perry","Ecuador","Vinces","Fabaceae","Cajanus","null","null",198556,"null","null","null",TRUE,"1834","null","cajan","L.","Huth","South America","08/15/1978","Jauneche Forest, between Mocachi and Palenque on Estero Peñafiel.","null","Growing along path to forest in cut over area.","Flower","null","null","null","null","Woody shrub or small tree to 3 m tall; cultivated; corolla orange-red; fruits variegated in color; cultivated.","null","70","null","m",FALSE,"null","-79.756466","W","-1.437953","S","https://cdn.plantatlas.org/img/specimens/USF/181519.JPG"
"103",100733,"null","78","M. V. Hayden","","Panama","null","Fabaceae","Calliandra","null","null",199317,"null","null","null",TRUE,"null","null","magdalenae","Bertero ex DC.","Benth.","Central America","Jun 1965","In Ancon.","null","null","Flower","null","null","null","null","Cultivated; white flowers, pink stigmas.","null","null","null","null",FALSE,"null","-79.555805","W","8.95731","N","https://cdn.plantatlas.org/img/specimens/USF/100733.jpg"
"104",197669,"null","9834","E. Forero","E. Rentería","Colombia","Medellín Mun.","Fabaceae","Calliandra","null","null",199322,"null","null","null",TRUE,"null","null","medellinensis","Britton & Rose ex Britton","null","South America","03/19/1984","Jardín Botánico Joaquín Antonio Uribe.","null","null","Flower","Fruit","null","null","null","Arbusto de 80 cm; cáliz verde, corola blanca con tinte verde, ápice de los pétalos verde claro; filamentos y estilo blancos (!), anteras verdes; frutos verdes; cultivado como ornamental.","null","1460","null","m",FALSE,"null","-74.495332","W","3.140456","N","https://cdn.plantatlas.org/img/specimens/USF/197669.jpg"
"105",197414,"null","9415","E. Forero","R. Jaramillo, L.A. Vidal","Colombia","null","Fabaceae","Calliandra","null","null",199321,"null","null","null",TRUE,"null","null","medellinensis","Britton & Rose ex Britton","null","South America","04/28/1983","La Mesa (entrada a la población).","Oct 1983","null","Flower","null","null","null","null","Arbusto de 2 m, ramificado, desde la base blanquecina y el ápice con tinte marrón, corola rosada, tubo estiminal blanco, filamentos rojos; base sel estilo blanco, 0.5 distal roja, anteras ""negras""; frutos verdes; cultivada como ornamental.","null","1400","null","m",FALSE,"null","-74.628897","W","4.24698","N","https://cdn.plantatlas.org/img/specimens/USF/197414.jpg"
"106",197257,"null","9431","E. Forero","R. Jaramillo, L.A. Vidal","Colombia","Silvania Mun.","Fabaceae","Calliandra","null","null",199551,"null","null","null",TRUE,"null","null","pittieri","Standl.","null","South America","05/26/1983","Vereda Azafranal (carretera Bogotá-Fusagasugá, antes de Silvania).","Oct 1983","null","Fertile","Flower","null","null","null","Arbolito de 6 m; cáliz y corola verde claro, filamentos con el extremo distal rojo, el resto blanco; fruto marrón; cultivado como ornamental.","null","1730","null","m",FALSE,"null","-73.790001","W","3.250249","N","https://cdn.plantatlas.org/img/specimens/USF/197257.jpg"
"107",197713,"null","9955","E. Forero","E. Carbonó, E. Mercado","Colombia","Valledupar Mun.","Fabaceae","Calliandra","null","null",199557,"null","null","null",TRUE,"null","null","purdiei","Benth.","null","South America","05/05/1984","Corr. De Pueblo Bello; Calle principal; Vertiente sur de la Sierra Nevada de Santa Marta.","null","null","Flower","null","null","null","null","Arbolito de 4 m; cáliz y corola verdes; filamentos rojos; frutos verdes con tinte rojos; cultivado como ornamental.","null","1100","null","m",FALSE,"null","-72.35","W","8.166667","N","https://cdn.plantatlas.org/img/specimens/USF/197713.jpg"
"109",197717,"null","9932","E. Forero","E. Carbonó, E. Mercado","Colombia","null","Fabaceae","Calliandra","null","null",198846,"null","null","null",TRUE,"null","null","sp.","null","null","South America","05/04/1984","Aracataca.","null","null","Fertile","null","null","null","null","Arbusto de 1.2 m; cáliz y corola verde claro, 0.5 proximal de los estambres y estilo blanca, 0.5 distal rosada; frutos verdes; cultivado como ornamental.","null","50","null","m",FALSE,"null","-74.15","W","10.6333","N","https://cdn.plantatlas.org/img/specimens/USF/197717.JPG"
"110",197716,"null","9952","E. Forero","E. Carbonó, E. Mercado","Colombia","Valledupar Mun.","Fabaceae","Calliandra","null","null",198847,"null","null","null",TRUE,"null","null","sp.","null","null","South America","05/05/1984","Corr. de Pueblo Bello, vertiente sur de la Sierra Nevada de Santa Marta.","null","null","Fertile","null","null","null","null","Arbusto de 1.2 m; cáliz y corola verde claro, 0.5 proximal de los filamentos y estilo blanca, 0.5 distal rosada; cultivada como ornamental.","null","1100","null","m",FALSE,"null","-72.35","W","8.166667","N","https://cdn.plantatlas.org/img/specimens/USF/197716.JPG"
"111",197659,"null","9862","E. Forero","H. Cuadros","Colombia","null","Fabaceae","Calliandra","null","null",198831,"null","null","null",TRUE,"null","null","sp.","null","null","South America","04/26/1984","Caserío de Santa Rosa.","null","Atrás de la iglesia.","Fertile","null","null","null","null","Arbusto de 2.5 m; cállz verde oscuro, corola verde claro, two-third proximales de los filamentos y estilo blancos, 0.5 distal rosado; cultivado como ornamental.","null","30","null","m",FALSE,"null","-76.687302","W","4.626976","N","https://cdn.plantatlas.org/img/specimens/USF/197659.JPG"
"112",197703,"null","10184","E. Forero","R. Jaramillo M.","Colombia","null","Fabaceae","Calliandra","null","null",198855,"null","null","null",TRUE,"null","null","sp.","null","null","South America","06/26/1985","Carretera Bogotá-Mesitas del Colegio, entre Santandersito y Mesitas del Colegio.","null","null","Fertile","null","null","null","null","Arbol de 6 m; cáliz y corola verdes, filamentos rosado intenso; frutos verdes con tinte rojizo; cultivado como ornamental.","null","1460","null","m",FALSE,"null","-73.407355","W","4.757823","N","https://cdn.plantatlas.org/img/specimens/USF/197703.JPG"
"113",197701,"null","10181","E. Forero","R. Jaramillo M.","Colombia","null","Fabaceae","Calliandra","null","null",198857,"null","null","null",TRUE,"null","null","sp.","null","null","South America","06/26/1985","Carretera a San Antonio de Tena, entre el Puente sobre el Río Bogotá y San Antonio de Tena.","null","null","Fertile","null","null","null","null","Arbolito de 3 m; cáliz verde con tinte rosado, corola y filamentos rosados; cultivada como ornamental.","null","1300","null","m",FALSE,"null","-74.389823","W","4.656756","N","https://cdn.plantatlas.org/img/specimens/USF/197701.JPG"
"114",197674,"null","10185","E. Forero","R. Jaramillo M.","Colombia","null","Fabaceae","Calliandra","null","null",198806,"null","null","null",TRUE,"null","null","sp.","null","null","South America","06/26/1985","Carretera Bogotá-Mesitas del Colegio, entre Santandersito y Mesitas del Colegio.","null","null","Fertile","null","null","null","null","Arbusto de 1.5 m; cáliz verde oscuro, corola verde claro, two-third proximales de filamentos y estillo blancos, one-third distal rosado; frutos verdes; cultivado como ornamental.","null","1330","null","m",FALSE,"null","-73.407355","W","4.757823","N","https://cdn.plantatlas.org/img/specimens/USF/197674.JPG"
"116",197678,"null","10192","E. Forero","R. Jaramillo M., L.M. Quiñones, J.L. Fernandez A.","Colombia","null","Fabaceae","Calliandra","null","null",198796,"null","null","null",TRUE,"null","null","sp.","null","null","South America","03/13/1986","Villavicencio, Barrio La Grama.","null","null","Fertile","null","null","null","null","Arbusto hasta de 3 m; cáliz y corola verde claro, 0.5 proximal de los filamentos y labelo blanco; cultivado.","null","500","null","m",FALSE,"null","-73.625516","W","4.157878","N","https://cdn.plantatlas.org/img/specimens/USF/197678.JPG"
"117",197699,"null","10243","E. Forero","R. Jaramillo M., L.M. Quiñones, J.L. Fernández A.","Colombia","null","Fabaceae","Calliandra","null","null",198858,"null","null","null",TRUE,"null","null","sp.","null","null","South America","s.d.","Villavicencio, Campos de la Universidad Tecnológica de los Llanos Orientales.","null","null","Fertile","null","null","null","null","Arbusto de 3 m; cáliz verde oscuro, corola verde claro, tubo y parte proximal de los filamentos blancos, one-third distal rosado; cultivado.","null","400","null","m",FALSE,"null","-73.625516","W","4.157878","N","https://cdn.plantatlas.org/img/specimens/USF/197699.JPG"
"118",197240,"null","10030","E. Forero","R. Jaramillo, J.L. Fernández A.","Colombia","Guamo Mun.","Fabaceae","Calliandra","null","null",199011,"null","null","null",TRUE,"null","null","sp.","null","null","South America","11/16/1984","Carretera a La Chamba.","null","null","Flower","null","null","null","null","Arbol de 5 m; cáliz verde, corola verde con tinte rosado; filamentos y estilo blancos en las 0.75 partes basales, rosado intenso en el ápice; frutos jóvenes verdes; cultivado como ornamental.","null","450","null","m",FALSE,"null","-74.86844","W","4.026491","N","https://cdn.plantatlas.org/img/specimens/USF/197240.jpg"
"119",199372,"null","8382","J. J. Pipoly","","Guyana","null","Fabaceae","Calliandra","null","null",199358,"null","null","null",TRUE,"null","null","surinamensis","Benth.","null","South America","08/11/1986","Matthews Ridge, between train yard and Pakera Guest house.","1987","Secondary forest along former mining road.","Flower","null","null","null","null","Shrub 3 m; calyx green, corolla greenish-white; stamens red; possibly an escape from cultivation.","null","43","45","m",FALSE,"null","-60","W","7.6","N","https://cdn.plantatlas.org/img/specimens/USF/199372.jpg"
"120",120771,"null","2194","P. Genelle","G. Fleming","USA","Pinellas Co.","Commelinaceae","Callisia","null","null",67124,"null","null","null",TRUE,"1570","null","repens","Jacq.","L.","North America","10/19/1975","NE Clearwater, World Parkway, near golf course.","1985","Coastal, white sand with pine and oak; steep bank, near top.","Fertile","null","null","null","null","Large mat of plants with many smaller plants growing below the mat; perhaps result of pot of cultivated plants being emptied onto the sand bank.","null","null","null","null",FALSE,"null","-82.911228","W","27.965133","N","https://cdn.plantatlas.org/img/specimens/USF/120771.jpg"
"121",223730,"null","s.n.","R. Workman","","USA","Lee Co.","Cupressaceae","Callitris","null","null",26811,"null","null","null",TRUE,"1309","null","glaucophylla","Joy Thomps. & L.A.S. Johnson","null","North America","01/23/1999","Pineland. T44S, R22E, Sec. 7 NW ¼.","null","null","Fertile","null","null","null","null","Several trees escaped from cultivation.","null","null","null","null",FALSE,"Pine Island","-82.153426","W","26.660628","N","https://cdn.plantatlas.org/img/specimens/USF/223730.jpg"
"131",2182,"null","s.n.","C. E. Wood","K.A. Wilson, G.R. Cooley","USA","Hernando Co.","Lauraceae","Camphora","null","null",119630,"null","null","null",TRUE,"442","null","officinarum","Nees","null","North America","04/26/1958","NE of Brooksville.","Aug 2023","null","Flower","null","null","null","null","Evergreen tree about 10 m tall; flowering on the new growth; flowers glaucous; cultivated and spreading by seedlings.","null","320","null","ft",FALSE,"Chinsegut Hill","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/2182a.JPG"
"132",224931,"null","s.n.","R. Workman","","USA","Lee Co.","Lauraceae","Camphora","null","null",16429,"null","null","null",TRUE,"442","null","officinarum","Nees","null","North America","08/06/1999","Off Piney Road.  T44S, R24E, Sec. 2.","Apr 2024","On 5 acre lot; pine - oak - Sabal hammock.","null","null","null","null","null","Seedlings numerous. Escaped from cultivation.","null","null","null","null",FALSE,"North Fort Myers","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/224931a.JPG"
"133",59741,"null","26841","O. K. Lakela","J. Hall","USA","Collier Co.","Polypodiaceae","Campyloneurum","null","null",21017,"null","null","null",TRUE,"2246","null","costatum","Kunze","C. Presl","North America","02/16/1964","Contact USF Herbarium if additional information is required","Mar 1987","null","Fertile","null","null","null","null","This specimen cultivated in a greenhouse in Lake County; blade fleshy, indistinctly veined.","null","null","null","null",TRUE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/59741.jpg"
"134",101434,"null","6433","D. Burch","","USA","Hillsborough Co.","Caricaceae","Carica","null","null",129614,"null","null","null",TRUE,"1699","null","papaya","L.","null","North America","02/18/1971","Tampa.","null","null","null","null","null","null","null","Precocious flowering on apparently male plant (cultivar is monoecious); this plant 6 dm, mature plants 2.5 m.","null","null","null","null",FALSE,"University of South Florida Botanical Gardens","-82.458428","W","27.947522","N","https://cdn.plantatlas.org/img/specimens/USF/101434.JPG"
"137",212952,"null","25945","S. R. Hill","","USA","Pickens Co.","Juglandaceae","Carya","null","null",118000,"null","null","null",TRUE,"1894","null","illinoinensis","Wangenh.","K. Koch","North America","08/07/1994","156 Cedar Creek Circle, Central.","Aug 1994","Front yard.","Fertile","Fruit","null","null","null","Cultivated tree 20 ft tall; first year for fruit production.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/212952.jpg"
"141",180369,"null","9173","W. C. Brumbach","","USA","Lee Co.","Casuarinaceae","Casuarina","null","null",117818,"null","null","null",TRUE,"1952","null","glauca","Sieber ex Spreng.","null","North America","03/09/1977","null","null","In a lot border.","null","null","null","null","null","A tree 9 m tall, 2 dm diameter; leaves ascending, somewhat recurved on fruiting spikes; persisting from cultivation.","null","null","null","null",FALSE,"Western Sanibel [Island]","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/180369.jpg"
"144",247427,"null","s.n.","G. F. Carr","","Brazil","null","Orchidaceae","Catasetum","null","null",30653,"null","null","null",TRUE,"null","null","catarinense","G.F.Carr & V.P.Castro","null","South America","July 2007","Municipio de Curupa, Orquidario Catarinense.","null","null","Flower","null","null","null","Isotype","Cultivated in Florida [USA].","null","100","null","m",FALSE,"null","-48.583333","W","-21.716667","S","https://cdn.plantatlas.org/img/specimens/USF/247427.jpg"
"145",240707,"null","s.n.","M.V. Steuerwald","","Colombia","null","Orchidaceae","Catasetum","null","null",106971,"null","null","null",TRUE,"null","null","rectangulare","G.F.Carr","null","South America","02/26/2005","Arauca.","null","null","Flower","null","null","null","Isotype","Cultivated in Medellin, Colombia.","null","null","null","null",FALSE,"null","-70.479722","W","6.873056","N","https://cdn.plantatlas.org/img/specimens/USF/240707.jpg"
"146",247415,"null","s.n.","G. F. Carr","null","Colombia","null","Orchidaceae","Catasetum","null","null",30654,"null","null","null",TRUE,"null","null","villegasii","G.F.Carr","null","South America","July 2007","Near Solita on the Rio Caqueta, S of the departmental capital of Florencia.","null","null","Flower","null","null","null","Holotype","Cultivated in Florida [USA].","null","null","null","null",FALSE,"null","-75.619131","W","1.6175","N","https://cdn.plantatlas.org/img/specimens/USF/247415.jpg"
"149",92641,"null","7534","W. H. Lewis","","Bahamas","null","Malvaceae","Ceiba","null","null",143312,"null","null","null",TRUE,"null","null","pentandra","L.","Gaertn.","West Indies","12/31/1969","The Current.","null","Vicinity of village, mostly waste areas, sandy soil.","null","null","null","null","null","Tree ca. 15 m tall, thick trunk, spreading above, inflorescence in bud, spontaneous after cultivation.","null","null","null","null",FALSE,"null","-76.783971","W","25.408001","N","https://cdn.plantatlas.org/img/specimens/USF/92641.jpg"
"151",222959,"null","674","K. A. Bradley","","USA","Miami-Dade Co.","Poaceae","Cenchrus","null","null",19634,"null","null","null",TRUE,"125","null","setaceus","Forssk.","Morrone","North America","09/16/1997","Vacant lot at SW corner of the intersection of SW 184th Street and 97th Avenue.","07-Oct-2017","null","Fertile","null","null","null","null","Throughout lot where it has escaped from cultivation.","Common","null","null","null",FALSE,"null","-80.34833333","W","25.59833333","N","https://cdn.plantatlas.org/img/specimens/USF/222959.jpg"
"153",223380,"null","1008","K. A. Bradley","S. Woodmansee","USA","Palm Beach Co.","Poaceae","Cenchrus","null","null",19635,"null","null","null",TRUE,"125","null","setaceus","Forssk.","Morrone","North America","05/13/1998","Yamato Scrub Natural Area; along E property line along both sides of FEC Railway right-of-way","07-Oct-2017","In open sand adjacent to fire-suppressed Pinus clausa scrub.","Fertile","null","null","null","null","Many plants naturalized; this species is cultivated in a residential development ca. 0.2 mi. W of this station.","null","null","null","null",FALSE,"null","-80.09527778","W","26.40222222","N","https://cdn.plantatlas.org/img/specimens/USF/223380.jpg"
"158",219404,"null","28593","S. R. Hill","","USA","Champaign Co.","Fabaceae","Chamaecrista","null","null",127936,"null","null","null",TRUE,"3026","null","fasciculata","Michx.","Greene","North America","08/31/1996","Champaign, 1411 Winding Lane; residential area.","1997","null","Fruit","null","null","null","null","Flowers yellow; visited by bumblebees; cultivated herb 0.5 m tall.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/219404.jpg"
"161",241609,"null","29699","S. R. Hill","","USA","Champaign Co.","Amaranthaceae","Chenopodium","null","null",119130,"null","null","null",TRUE,"null","null","quinoa","Willd.","null","North America","08/09/1997","Champaign; Dodd's Park; E side of Parkland College; E. Albert Garden plots; W side of Mattis Avenue; S side of water company.","null","Black organic clay; garden plots.","Flower","null","null","null","null","Annual; 1-1.5 m tall; fruits green; possibly a lowland cultivar; did not produce well.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/241609.jpg"
"163",39467,"null","997","E. L. Ekman","","Cuba","null","Poaceae","Chrysopogon","null","null",139746,"null","null","null",TRUE,"null","null","zizanioides","L.","Roberty","West Indies","12/07/1922","Mayari Arriba; oriente.","2003","null","Flower","null","null","null","null","Cultivated for thatch and frequently escaped.","null","null","null","null",FALSE,"null","-80.749589","W","22.588005","N","https://cdn.plantatlas.org/img/specimens/USF/39467.JPG"
"164",2186,"null","s.n.","C. E. Wood","K.A. Wilson, G.R. Cooley","USA","Hernando Co.","Lauraceae","Cinnamomum","null","null",119642,"null","null","null",TRUE,"4381","null","burmannii","","Blume","North America","04/26/1958","NE of Brooksville.","25-Jan-2016","null","Flower","null","null","null","null","Large, spreading evergreen tree; ca. 8-10 m high; showing no evidence of damage from the cold winter of 1958; cultivated and spreading by seedlings in the neighborhood of the parent trees.","null","320","null","ft",FALSE,"Chinsegut Hill","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/2186.jpg"
"165",218759,"null","28064","S. R. Hill","","Dominica","null","Lauraceae","Cinnamomum","null","null",119959,"null","null","null",TRUE,"null","null","verum","J. Presl","null","West Indies","06/01/1996","La Plaine; trial to Sari Sari Falls.","Oct 1996","Along road; very wet lowland rain forest; N facing slopes.","null","null","null","null","null","Locally common cultivated tree 15-20 ft. tall; spicy cinnamon aroma; leaves dark green, glaucous beneath.","null","500","1000","ft",FALSE,"null","-61.275","W","15.32222222","N","https://cdn.plantatlas.org/img/specimens/USF/218759.jpg"
"166",213101,"null","24784","S. R. Hill","","Dominica","null","Lauraceae","Cinnamomum","null","null",119960,"null","null","null",TRUE,"null","null","verum","J. Presl","null","West Indies","03/14/1993","Rosalie Valley-Morne Jaune Road; vicitiny of Morne Jaune.","Sept 1993","Roadside.","Flower","null","null","null","null","Cultivated tree 10-20 ft. tall; inflorescence immature.","null","null","null","null",FALSE,"null","-61.253247","W","15.37181","N","https://cdn.plantatlas.org/img/specimens/USF/213101.jpg"
"167",204024,"null","22082","S. R. Hill","","Dominica","null","Lauraceae","Cinnamomum","null","null",119961,"null","null","null",TRUE,"null","null","verum","J. Presl","null","West Indies","03/18/1991","SE side of road between Emerald Pool and Castle Bruce.","March 1991","Agricultural area.","Flower","null","null","null","null","Flowers yellow-cream; occasional cultivated tree 20 ft. tall; cinnamon aroma.","null","500","null","ft",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204024.jpg"
"171",1746,"null","762","J. A. Lagos","","El Salvador","null","Cucurbitaceae","Citrullus","null","null",168133,"null","null","null",TRUE,"331","null","lanatus","Thunb.","Matsum. & Nakai","Central America","06/27/1957","Laguna de Apastepeque.","1976","null","null","null","null","null","null","Hierba rastrera, cultivada.","null","520","null","m",FALSE,"null","-88.702847","W","13.657029","N","https://cdn.plantatlas.org/img/specimens/USF/1746.JPG"
"176",108177,"null","1691","P. Genelle","G. Fleming","USA","Hillsborough Co.","Rutaceae","Citrus","null","null",53323,"null","null","null",TRUE,"1987","null","x aurantium","L.","null","North America","11/13/1973","null","Jul 2025","null","Fruit","null","null","null","null","Not cultivated.","null","null","null","null",FALSE,"Hillsborough River State Park","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/108177.jpg"
"177",81454,"null","s.n.","H. S. Maxwell","","USA","Hillsborough Co.","Lamiaceae","Clerodendrum","null","null",130978,"null","null","null",TRUE,"1728","null","indicum","L.","Kuntze","North America","11/22/1967","null","null","null","null","null","null","null","null","Cultigen; ornamental.","null","null","null","null",FALSE,"null","-82.34692","W","27.906229","N","https://cdn.plantatlas.org/img/specimens/USF/81454.JPG"
"178",169597,"null","s.n.","S. Grant","","USA","Hernando Co.","Lamiaceae","Clerodendrum","null","null",28096,"null","null","null",TRUE,"1728","null","indicum","L.","Kuntze","North America","11/16/1982","Ca. 4 mi. E of Masaryktown.","null","In yard.","Fruit","null","null","null","null","Possibly cultivated.","null","null","null","null",FALSE,"null","-82.45704","W","28.441666","N","https://cdn.plantatlas.org/img/specimens/USF/169597.jpg"
"180",36053,"null","55819","R. K. Godfrey","","USA","Leon Co.","Lamiaceae","Clerodendrum","null","null",130983,"null","null","null",TRUE,"229","null","trichotomum","Thunb.","null","North America","07/27/1957","Davis Farm on old St. Augustine Road, E of Tallahassee.","null","null","null","null","null","null","null","Small tree; in cultivation; freely root-suckering.","null","null","null","null",FALSE,"null","-84.280733","W","30.438256","N","https://cdn.plantatlas.org/img/specimens/USF/36053.JPG"
"181",226858,"null","2015","K. A. Bradley","","USA","Miami-Dade Co.","Clusiaceae","Clusia","null","null",28171,"null","null","null",TRUE,"2180","null","rosea","Jacq.","null","North America","04/14/1999","West Biscayne Pineland. SW 288 Street and 192 Avenue.","null","In center of pine rockland.","null","null","null","null","null","Epiphytic on Sabal palmetto. An escapee from cultivated plants nearby.","null","null","null","null",FALSE,"null","-80.50075","W","25.49312","N","https://cdn.plantatlas.org/img/specimens/USF/226858.jpg"
"185",204016,"null","22077","S. R. Hill","","Dominica","St. Peter Par.","Rhamnaceae","Colubrina","null","null",142738,"null","null","null",TRUE,"2839","null","elliptica","Sw.","Brizicky & W. L. Stern","West Indies","03/17/1991","Colihaut, over Colihaut River.","Mar 1991","N side of town near bridge over river, then W into village.","null","null","null","null","null","Cultivated small tree 20 ft. tall.","null","null","null","null",FALSE,"null","-61.461918","W","15.485639","N","https://cdn.plantatlas.org/img/specimens/USF/204016.JPG"
"188",203600,"null","78133","H. J. Wiehler","null","Panama","null","Gesneriaceae","Columnea","null","null",5660,"null","null","null",TRUE,"null","null","zebranella","Wiehler","null","Central America","08/25/1978","null","null","Cloud forest.","Flower","null","null","null","Isotype","Epiphyte; 1 Aug 1971, Wiehler & Dressler 71186B (SEL, sterile); live material of same collection cultivated at MSBG greenhouse acc. No. W-1595.","null","null","null","null",FALSE,"Cerro Jefe","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/203600.jpg"
"189",203626,"null","78133","H. J. Wiehler","null","Panama","null","Gesneriaceae","Columnea","null","null",5661,"null","null","null",TRUE,"null","null","zebranella","Wiehler","null","Central America","08/25/1978","null","null","Cloud forest.","Flower","null","null","null","Isotype","Epiphyte; 1 Aug 1971, Wiehler & Dressler 71186B (SEL, sterile); live material of same collection cultivated at MSBG greenhouse acc. No. W-1595.","null","null","null","null",FALSE,"null","-79.536348","W","8.970526","N","https://cdn.plantatlas.org/img/specimens/USF/203626.jpg"
"192",242969,"null","s.n.","S. Dickman","","USA","Hillsborough Co.","Poaceae","Cortaderia","null","null",46442,"null","null","null",TRUE,"4299","null","selloana","Schult. & Schult. f.","Asch. & Graebn.","North America","09/15/2006","Pam Callahan Nature Preserve, S side of Memorial Highway, W of Tampa International Airport, Tampa; 200 m S of Preserve gate.","null","null","Fertile","null","null","null","null","Not planted, escaped from cultivation.","null","null","null","null",FALSE,"null","-82.458428","W","27.947522","N","https://cdn.plantatlas.org/img/specimens/USF/242969.jpg"
"193",242970,"null","s.n.","S. Dickman","","USA","Hillsborough Co.","Poaceae","Cortaderia","null","null",46443,"null","null","null",TRUE,"4299","null","selloana","Schult. & Schult. f.","Asch. & Graebn.","North America","09/15/2006","Pam Callahan Nature Preserve, S side of Memorial Highway, W of Tampa International Airport, Tampa; 200 m S of Preserve gate.","null","null","null","null","null","null","null","Not planted, escaped from cultivation.","null","null","null","null",FALSE,"null","-82.458428","W","27.947522","N","https://cdn.plantatlas.org/img/specimens/USF/242970.jpg"
"195",226833,"null","2","S. Myers","","USA","Orange Co.","Costaceae","Costus","null","null",25214,"null","null","null",TRUE,"4107","null","pulverulentus","C. Presl","null","North America","11/01/2000","700 block of North Econlockhatchee Trail, ca. 10 mi. E of Orlando. T22S, R31E, Sec. 19.","null","On the edge of a riverine forest.","Fertile","null","null","null","null","Very well estabilshed escape from cultivation.","null","null","null","null",FALSE,"Valencia Community College East Campus","-81.1167","W","28.3833","N","https://cdn.plantatlas.org/img/specimens/USF/226833.jpg"
"196",170128,"null","2442","J. L. Zarucchi","","Colombia","null","Apocynaceae","Couma","null","null",170530,"null","null","null",TRUE,"null","null","macrocarpa","Barb. Rodr.","null","South America","07/10/1979","Mitú and vicinity; along Río Vaupés ca. 8 km below Mitú.","null","null","null","null","null","null","null","Tree; cultivated(?), 20 m tall, DBH 50 cm; bark whitish-grey with horizontal fissures; latex white, thick, abundant, sticky; sterile.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/170128.jpg"
"202",195876,"null","32106","M. Nee","T. Andres","Mexico","Fortin Mun.","Cucurbitaceae","Cucurbita","null","null",167968,"null","null","null",TRUE,"1247","null","okeechobeensis","Small","L. H. Bailey","North America","12/12/1985","Fortin de las Flores.","1991-1995","Bosque caducifolio - selva mediana subperennifolia; ruderals in the town; over shrubs and herbs.","Fruit","null","null","null","null","Vine, wild, not cultivated; flowers nearly odorless, but with slight (especially in females) ""sweet, cucumber-like"" odor; corolla light yellow, the midribs yellow-green; anthers and stigma yellow; fruit still slightly soft, bitter, light green-green mottled and striped, nearly globose, the largest one 9 cm diameter, slightly longer; fruit said to have been used in poorer and more backward times for soap, not eaten because bitter.","null","1400","null","m",FALSE,"null","-97","W","18.9","N","https://cdn.plantatlas.org/img/specimens/USF/195876.JPG"
"208",125342,"null","C-63","L. L. Glenboski","","Colombia","null","Cucurbitaceae","Cyclanthera","null","null",168478,"null","null","null",TRUE,"null","null","pedata","L.","Schrad.","South America","10/03/1972","In Puerto Narino, Rio Loreto-Yacu.","1977","In dooryard garden.","Flower","null","null","null","null","Cultivated; climbing vine; dried seeds used as flavoring agents in soups (Indians - Tukuna).","null","null","null","null",FALSE,"null","-70.25","W","-3.8","S","https://cdn.plantatlas.org/img/specimens/USF/125342.JPG"
